nivel,interes,experiencia,area_recomendada
avanzado,datos,6.0,Liderazgo analítico
intermedio,seguridad,3.0,Pentesting web
intermedio,diseño,4.5,Sistemas de diseño
avanzado,datos,6.0,Liderazgo analítico
intermedio,frontend,4.5,Arquitectura frontend
intermedio,frontend,3.5,Integración con APIs
intermedio,devops,3.5,Entrega continua
intermedio,frontend,4.5,Arquitectura frontend
principiante,seguridad,0.0,Seguridad básica
principiante,backend,0.5,Fundamentos de backend
principiante,diseño,1.0,Diseño UI
principiante,móvil,1.0,Interfaces móviles
avanzado,diseño,10.0,Dirección de diseño
principiante,frontend,1.5,JavaScript y componentes UI
principiante,backend,1.5,APIs REST
avanzado,diseño,5.0,Dirección de diseño
principiante,seguridad,2.0,Hardening de aplicaciones
intermedio,móvil,4.0,Arquitectura móvil
principiante,inteligencia artificial,1.5,Modelos clásicos de machine learning
avanzado,móvil,5.0,Publicación y escalado móvil
principiante,frontend,2.0,JavaScript y componentes UI
principiante,diseño,1.5,Diseño UI
avanzado,móvil,7.0,Publicación y escalado móvil
principiante,seguridad,1.0,Hardening de aplicaciones
principiante,diseño,0.0,Fundamentos de diseño
avanzado,móvil,8.0,Publicación y escalado móvil
avanzado,frontend,8.0,Microfrontends
principiante,inteligencia artificial,0.5,Fundamentos de IA
avanzado,inteligencia artificial,10.0,Arquitectura de soluciones de IA
avanzado,frontend,6.0,Microfrontends
avanzado,móvil,8.0,Publicación y escalado móvil
intermedio,datos,3.5,Ciencia de datos
avanzado,inteligencia artificial,8.0,Arquitectura de soluciones de IA
avanzado,diseño,10.0,Dirección de diseño
principiante,inteligencia artificial,2.0,Modelos clásicos de machine learning
avanzado,frontend,10.0,Microfrontends
avanzado,frontend,8.0,Microfrontends
avanzado,devops,5.0,Plataforma cloud
intermedio,backend,5.0,Arquitectura de servicios
intermedio,backend,3.0,Integración con bases de datos
intermedio,móvil,4.5,Arquitectura móvil
avanzado,diseño,8.0,Dirección de diseño
principiante,frontend,2.0,JavaScript y componentes UI
intermedio,diseño,3.5,Diseño UX
intermedio,frontend,3.0,Integración con APIs
intermedio,móvil,5.0,Arquitectura móvil
intermedio,backend,4.0,Arquitectura de servicios
principiante,datos,1.0,Análisis de datos
intermedio,diseño,3.0,Diseño UX
avanzado,backend,10.0,Sistemas distribuidos
avanzado,diseño,6.0,Dirección de diseño
principiante,devops,1.5,Integración continua
intermedio,devops,5.0,Infraestructura como código
principiante,frontend,1.0,JavaScript y componentes UI
intermedio,móvil,3.5,Consumo de APIs móviles
intermedio,diseño,5.0,Sistemas de diseño
principiante,inteligencia artificial,0.5,Fundamentos de IA
avanzado,backend,10.0,Sistemas distribuidos
intermedio,diseño,4.0,Sistemas de diseño
intermedio,backend,4.5,Arquitectura de servicios
principiante,backend,0.5,Fundamentos de backend
intermedio,seguridad,5.0,Automatización de seguridad
avanzado,inteligencia artificial,6.0,Arquitectura de soluciones de IA
principiante,frontend,2.0,JavaScript y componentes UI
avanzado,frontend,5.0,Microfrontends
intermedio,diseño,4.0,Sistemas de diseño
avanzado,devops,10.0,Plataforma cloud
principiante,seguridad,0.5,Seguridad básica
avanzado,móvil,8.0,Publicación y escalado móvil
principiante,frontend,1.5,JavaScript y componentes UI
principiante,devops,1.5,Integración continua
intermedio,backend,3.0,Integración con bases de datos
principiante,diseño,0.5,Fundamentos de diseño
avanzado,diseño,6.0,Dirección de diseño
avanzado,móvil,6.0,Publicación y escalado móvil
intermedio,inteligencia artificial,4.5,MLOps
principiante,inteligencia artificial,1.0,Modelos clásicos de machine learning
principiante,móvil,2.0,Interfaces móviles
principiante,datos,0.0,Fundamentos de datos
intermedio,seguridad,4.5,Automatización de seguridad
principiante,diseño,0.0,Fundamentos de diseño
principiante,diseño,2.0,Diseño UI
intermedio,datos,5.0,Ingeniería de datos
avanzado,inteligencia artificial,5.0,Arquitectura de soluciones de IA
principiante,seguridad,1.5,Hardening de aplicaciones
principiante,frontend,0.0,Fundamentos de HTML y CSS
intermedio,inteligencia artificial,5.0,MLOps
avanzado,seguridad,7.0,Arquitectura de seguridad
avanzado,frontend,7.0,Microfrontends
intermedio,frontend,4.0,Arquitectura frontend
principiante,inteligencia artificial,2.0,Modelos clásicos de machine learning
intermedio,devops,4.5,Infraestructura como código
avanzado,frontend,10.0,Microfrontends
principiante,inteligencia artificial,0.0,Fundamentos de IA
principiante,datos,0.5,Fundamentos de datos
